categoria,subcategoria,nome,descricao,endereco,horario,entrega,telefone,telefone2
Moda & Acessórios,"Moda (Masculina, Feminina, Infantil) / Cama Mesa & Banho",MAGUARI - Miss Top,"Moda, tendências, fitness, presentes...",Conj. Maguari - Principal entre 5 e 6,Segunda a sábado das 8h30 às 12h e das 15h às 19h30,A combinar,55919982407520,55919982407520
Moda & Acessórios,"Moda (Masculina, Feminina, Infantil) / Cama Mesa & Banho",TENONÉ - Ruth Modas,Moda & Confecções Feminina,"Tenoné - 5ª linha, 34",Segunda a sábado das 8h30 às 12h e das 16h às 19h,A combinar,5591984986533,5591984986533
Moda & Acessórios,"Moda (Masculina, Feminina, Infantil) / Cama Mesa & Banho",SATÉLITE - El Shaday Modas,"Moda, tendências, presentes...","Conj. Satélite SN 5, entre WE 8 e WE 9",Segunda a sábado das 8h30 às 12h e das 16h às 20h,A combinar,5591984597897,5591984597897
Pet Shop,Banho e Tosa,MAGUARI - Vida Puppy,Centro de estética para animais,Conj. Maguari - Principal esquina da 5,Segunda a sábado das 8h30 às 17h,Taxi pet,5591980170771,5591980170771
Pet Shop,Banho e Tosa,MAGUARI - Studio Pet Maguari,"Banho e tosa, hidratação, escovação de dentes, hidratação das patas, banho medicamentoso",Conj. Maguari - Principal esquina da 7,Terça a sábado das 8h às 18h,Taxi pet,5591998292115,5591998292115
Pet Shop,Clínica Veterinária,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Pet Shop,Cuidadores de Pets,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Pet Shop,Hotel Pet,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Pet Shop,Loja de Rações,MAGUARI - Meu Pet Shop,"Rações em geral, petiscos, areia...",Conj. Maguari - Principal - entre 13 e 14,Segunda a sábado das 8h às 12h30 e das 15h às 19h30,Grátis,5591988679924,5591988679924
Pet Shop,Loja de Rações,COQUEIRO - Rações Plus,Rações em geral para cães e gatos,"Coqueiro - WE 43, 242",Segunda a sexta das 8h às 17h / Sábado das 8h às 12h,Grátis,5591984865320,5591984865320
Pet Shop,Veterinários,"ESPAÇO VAGO para o seu negócio, Venha fazer parte da maior vitrine digital da região.",ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,ENTRE EM CONTATO,5591985554004,5591985554004
Saúde & Bem-estar,Academias / Artes Marciais,MAGUARI - Vida Fit Academia,Saúde e Performance,Conj. Maguari - Principal - entre 3 e 4,Segunda a sábado 5h30 às 24h,Presencial,5591920030595,5591920030595
